Table 21. Number of Poor and Poverty Rate by State: 1980 to 2020,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>)",,,,,
2020,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,885",727,84,14.9,1.8
Alaska,705,94,9,13.3,1.3
Arizona,"7,457",807,76,10.8,1.0
Arkansas,"2,980",422,34,14.2,1.1
California,"39,164","4,318",183,11.0,0.5
Colorado,"5,753",548,88,9.5,1.5
Connecticut,"3,482",389,48,11.2,1.4
Delaware,981,103,13,10.5,1.4
District of Columbia,718,120,9,16.7,1.2
Florida,"21,638","2,861",162,13.2,0.8
Georgia,"10,539","1,396",126,13.2,1.2
Hawaii,"1,376",150,17,10.9,1.3
Idaho,"1,831",168,16,9.2,0.9
Illinois,"12,468",997,77,8.0,0.6
Indiana,"6,654",802,76,12.0,1.1
Iowa,"3,129",281,46,9.0,1.5
Kansas,"2,863",260,45,9.1,1.6
Kentucky,"4,414",615,65,13.9,1.5
Louisiana,"4,543",701,42,15.4,0.9
Maine,"1,351",108,19,8.0,1.4
Maryland,"5,957",550,63,9.2,1.1
Massachusetts,"6,819",571,55,8.4,0.8
Michigan,"9,795","1,088",83,11.1,0.9
Minnesota,"5,574",468,57,8.4,1.0
Mississippi,"2,935",514,55,17.5,1.9
Missouri,"6,029",641,67,10.6,1.1
Montana,"1,069",118,10,11.0,1.0
Nebraska,"1,932",160,16,8.3,0.8
Nevada,"3,155",407,41,12.9,1.3
New Hampshire,"1,371",85,13,6.2,0.9
New Jersey,"8,734",712,78,8.2,0.9
New Mexico,"2,058",340,24,16.5,1.2
New York,"18,878","2,221",125,11.8,0.7
North Carolina,"10,555","1,449",103,13.7,1.0
North Dakota,750,80,8,10.7,1.1
Ohio,"11,602","1,473",117,12.7,1.0
Oklahoma,"3,899",604,59,15.5,1.5
Oregon,"4,127",389,33,9.4,0.8
Pennsylvania,"12,487","1,327",131,10.6,1.1
Rhode Island,"1,049",89,12,8.5,1.2
